date_time,year,month,monthname,day,day_week,day_weekname,hour,hourname,minute,state,statename,county,countyname,st_case,ve_total,ve_forms,pvh_invl,peds,persons,city,cityname,latitude,longitud,harm_ev,harm_evname,man_coll,man_collname,wrk_zone,wrk_zonename,rel_road,rel_roadname,lgt_cond,lgt_condname,weather,weathername,sch_bus,sch_busname,not_hour,not_hourname,not_min,not_minname,arr_hour,arr_hourname,arr_min,arr_minname,fatals,drunk_dr,day_3hr_window,day_3hr_window_name,day_2hr_window,day_2hr_window_name,day_4hr_window,day_4hr_window_name
12/7/11 13:27,2011,12,,7,4,,13,,27,28,,67,,280539,2,2,0,0,2,0,,31.627125,-89.21539722,12,,8,,0,,1,,1,,1,,0,,88,,88,,88,,88,,1,0,29,,43,,22,
11/1/11 9:24,2011,11,,1,3,,9,,24,28,,37,,280540,1,1,0,0,1,0,,31.511075,-90.707075,42,,0,,0,,6,,1,,1,,0,,88,,88,,88,,88,,1,0,20,,29,,15,
12/8/11 8:14,2011,12,,8,5,,8,,14,28,,79,,280541,2,2,0,0,6,0,,32.69609722,-89.51970833,12,,6,,0,,1,,1,,1,,0,,8,,31,,8,,44,,1,0,35,,53,,27,
12/12/11 12:16,2011,12,,12,2,,12,,16,28,,121,,280542,2,2,0,0,2,0,,32.12899167,-90.05947778,12,,2,,0,,1,,1,,1,,0,,88,,88,,88,,88,,1,0,13,,19,,10,
12/12/11 0:17,2011,12,,12,2,,0,,17,28,,59,,280543,2,2,0,0,6,0,,30.45478611,-88.81128611,12,,8,,0,,1,,2,,1,,0,,0,,32,,1,,15,,1,0,9,,13,,7,
12/14/11 14:50,2011,12,,14,4,,14,,50,28,,75,,280544,1,1,0,0,3,1590,,32.37014167,-88.70643889,35,,0,,0,,4,,1,,10,,0,,15,,0,,15,,22,,1,0,29,,44,,22,
12/13/11 12:21,2011,12,,13,3,,12,,21,28,,77,,280545,1,1,0,0,1,0,,31.61049722,-90.11451111,35,,0,,0,,5,,1,,1,,0,,88,,88,,88,,88,,1,0,21,,31,,16,
12/14/11 15:49,2011,12,,14,4,,15,,49,28,,99,,280546,1,1,0,1,1,0,,32.76939167,-89.063775,8,,0,,0,,1,,1,,1,,0,,15,,54,,16,,0,,1,0,30,,44,,22,
10/12/11 20:51,2011,10,,12,4,,20,,51,28,,21,,280547,1,1,0,0,2,0,,32.09041667,-90.79141667,34,,0,,0,,5,,2,,5,,0,,21,,13,,21,,36,,1,0,31,,47,,24,
12/12/11 9:06,2011,12,,12,2,,9,,6,28,,163,,280548,1,1,0,0,1,0,,32.78569167,-90.33408056,38,,0,,0,,5,,1,,10,,0,,88,,88,,88,,88,,1,0,12,,17,,9,
12/15/11 17:36,2011,12,,15,5,,17,,36,28,,41,,280549,1,1,0,0,1,0,,31.10761667,-88.79593889,35,,0,,0,,5,,2,,2,,0,,88,,88,,88,,88,,1,0,38,,57,,29,
